Month,Date,StateAHV,Usimm,MTBPPRIV,percip,Temp_F,MTBPPRIV,wage_r
1,01-01-2017,250000,655,134,0.84,35.8,134,1.288343558
2,02-01-2017,251000,712,211,2.8,40.4,211,1.288343558
3,03-01-2017,253000,733,511,2.99,52.6,511,1.288343558
4,04-01-2017,254000,905,392,2.33,59.6,392,1.288343558
5,05-01-2017,255000,981,410,0.71,68,410,1.288343558
6,06-01-2017,256000,977,829,2.62,64.3,829,1.288343558
7,07-01-2017,257000,872,383,0.07,54,383,1.288343558
8,08-01-2017,258000,851,357,0.19,41.4,357,1.288343558
9,09-01-2017,259000,898,369,0.99,35.4,369,1.288343558
10,10-01-2017,260000,933,466,1.28,28.9,466,1.288343558
11,11-01-2017,262000,761,248,1.69,33.8,248,1.288343558
12,12-01-2017,263000,597,164,2.98,26.6,164,1.288343558
13,2018-01-01,264000,403,138,1.17,37,138,1.325301205
14,2018-02-01,265000,419,179,2.14,43.6,179,1.325301205
15,2018-03-01,266000,561,295,0.42,58.4,295,1.325301205
16,2018-04-01,267000,578,422,1.54,59.7,422,1.325301205
17,2018-05-01,269000,602,380,1.78,66.3,380,1.325301205
18,2018-06-01,271000,598,436,2.63,65.5,436,1.325301205
19,2018-07-01,273000,563,398,0.3,55.5,398,1.325301205
20,2018-08-01,274000,521,339,0.22,44.7,339,1.325301205
21,2018-09-01,275000,569,396,0.59,37.3,396,1.325301205
22,2018-10-01,276000,596,420,1.17,29,420,1.325301205
23,2018-11-01,277000,377,240,1.52,25.6,240,1.325301205
24,2018-12-01,278000,382,324,0.46,11.3,324,1.325301205
25,2019-01-01,279000,431,280,1.37,25.5,280,1.294117647
26,2019-02-01,281000,439.62,134,1.79,43.9,134,1.294117647
27,2019-03-01,282000,587,316,0.98,53.5,316,1.294117647
28,2019-04-01,283000,566,413,1.19,59.4,413,1.294117647
29,2019-05-01,284000,599,367,1.63,63.4,367,1.294117647
30,2019-06-01,285000,543,364,1.96,64.8,364,1.294117647
31,2019-07-01,287000,611,319,1.12,56.1,319,1.294117647
32,2019-08-01,288000,488,347,0.65,37.4,347,1.294117647
33,2019-09-01,290000,497,371,2.5,30.8,371,1.294117647
34,2019-10-01,291000,533,268,1.12,31.2,268,1.294117647
35,2019-11-01,292000,461,242,0.9,28.8,242,1.294117647
36,2019-12-01,293000,427,189,0.48,30.4,189,1.294117647
37,2020-01-01,294000,558,299,1.59,34.3,299,1.271676301
38,2020-02-01,295000,599.85,273, 0.61,40.6,273,1.271676301
39,2020-03-01,296000,726,323, 0.10,50.5,323,1.271676301
40,2020-04-01,297000,713,317,1.53 ,57.8,317,1.271676301
41,2020-05-01,299000,777,471,3.44 ,63.3,471,1.271676301
42,2020-06-01,301000,821,305,5.39 ,65.5,305,1.271676301
43,2020-07-01,303000,694,462,1.22 ,55.9,462,1.271676301
44,2020-08-01,305000,618,527,0.41 , 41.0,527,1.271676301
45,2020-09-01,308000,667.44,408,0.36, 34.1,408,1.271676301
46,2020-10-01,311000,693,353,2.73 , 28.1,353,1.271676301
47,2020-11-01,315000,581,274, 1.84,29.5,274,1.271676301
48,2020-12-01,319000,529,580, 0.85,19.7,580,1.271676301
49,2021-01-01,323000,596,241,0.77,36.6,241,1.257142857
50,2021-02-01,328000,638,222,1.76,,222,1.257142857

